Part Number,2021-09-13 18:30:00,2021-09-14 06:05:00,2021-09-14 06:25:00,2021-09-14 06:34:00,2021-09-14 17:30:00,2021-09-15 06:20:00,2021-09-15 06:37:00,2021-09-15 16:33:00,2021-09-16 06:32:00,2021-09-16 06:38:00,2021-09-16 15:06:00,2021-09-16 17:06:00,2021-09-17 05:59:00,2021-09-17 06:23:00,2021-09-17 06:32:00,2021-09-18 07:13:00,2021-09-19 06:30:00,2021-09-20 06:01:00,2021-09-20 06:29:00,2021-09-21 06:03:00,2021-09-21 06:31:00,2021-09-22 05:58:00,2021-09-22 06:33:00,2021-09-23 06:00:00,2021-09-23 06:35:00,2021-09-24 06:05:00,2021-09-24 06:33:00,2021-09-25 07:06:00,2021-09-25 15:38:00,2021-09-26 06:02:00,2021-09-26 06:28:00,2021-09-27 05:54:00,2021-09-27 06:30:00,2021-09-27 08:37:00,2021-09-27 09:55:00,2021-09-27 11:55:00,2021-09-27 12:58:00,2021-09-28 06:31:00,2021-09-28 06:37:00,2021-09-28 10:00:00,2021-09-28 12:00:00,2021-09-28 16:57:00,2021-09-28 18:00:00,2021-09-29 06:29:00,2021-09-29 06:42:00,2021-09-29 11:58:00,2021-09-30 06:31:00,2021-09-30 06:33:00,2021-09-30 11:33:00,2021-09-30 12:30:00,2021-09-30 13:33:00,2021-09-30 15:34:00,2021-09-30 16:30:00,2021-09-30 17:34:00,2021-10-01 06:31:00,2021-10-01 06:35:00,2021-10-01 07:08:00,2021-10-02 07:05:00,2021-10-02 08:35:00,2021-10-03 07:03:00,2021-10-04 05:54:00,2021-10-04 06:26:00,2021-10-04 06:30:00,2021-10-04 11:27:00,2021-10-04 16:30:00,2021-10-05 06:32:00,2021-10-05 06:39:00,2021-10-05 07:01:00,2021-10-05 10:29:00,2021-10-06 06:00:00,2021-10-06 06:29:00,2021-10-06 06:33:00,2021-10-06 12:26:00,2021-10-06 18:34:00,2021-10-07 06:31:00,2021-10-07 08:08:00,2021-10-07 15:31:00,2021-10-07 17:32:00,2021-10-08 06:04:00,2021-10-08 06:35:00,2021-10-08 06:37:00,2021-10-08 12:08:00,2021-10-08 15:05:00,2021-10-09 07:05:00,2021-10-10 05:58:00,2021-10-10 06:29:00,2021-10-11 06:00:00,2021-10-11 06:28:00,2021-10-12 06:30:00,2021-10-12 06:36:00,2021-10-12 11:34:00,2021-10-13 06:34:00,2021-10-13 06:44:00,2021-10-13 07:14:00,2021-10-13 12:38:00,2021-10-14 06:32:00,2021-10-14 06:33:00,2021-10-14 16:30:00,2021-10-15 06:30:00,2021-10-15 06:38:00,2021-10-15 06:59:00,2021-10-15 15:34:00,2021-10-16 07:06:00,2021-10-16 07:42:00,2021-10-17 06:36:00,2021-10-18 06:01:00,2021-10-18 06:27:00,2021-10-18 06:37:00,2021-10-18 16:38:00,2021-10-19 06:36:00,2021-10-19 06:49:00,2021-10-19 11:57:00,2021-10-19 15:57:00,2021-10-20 06:00:00,2021-10-20 06:32:00,2021-10-20 06:36:00,2021-10-20 12:01:00,2021-10-20 16:01:00,2021-10-21 06:29:00,2021-10-21 06:42:00,2021-10-21 09:57:00,2021-10-21 11:01:00,2021-10-21 11:58:00,2021-10-21 15:01:00,2021-10-22 06:48:00,2021-10-22 07:02:00,2021-10-22 11:06:00,2021-10-22 12:31:00,2021-10-22 14:31:00,2021-10-22 16:03:00,2021-10-23 07:08:00,2021-10-24 06:33:00,2021-10-25 06:19:00,2021-10-25 06:32:00,2021-10-25 14:33:00,2021-10-25 17:29:00,2021-10-26 06:31:00,2021-10-26 06:33:00,2021-10-27 06:29:00,2021-10-27 06:39:00,2021-10-28 06:30:00,2021-10-28 06:31:00,2021-10-28 12:26:00,2021-10-28 15:30:00,2021-10-28 16:26:00,2021-10-29 06:30:00,2021-10-29 06:32:00,2021-10-29 07:06:00,2021-10-29 12:34:00,2021-10-29 15:03:00,2021-10-29 15:38:00,2021-10-30 07:04:00,2021-11-01 07:03:00
Part 0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,9,9,9,9,9,9,9,9,9,9,13.0,13.0,13.0,3.0,3.0,3.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 10,16,16,16.0,16.0,16.0,16.0,16.0,16.0,23.0,23.0,23.0,23.0,23.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,70.0,70.0,70.0,70.0,70.0,20.0,20.0,20.0,20.0,20.0,20.0,29,29,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,95,95,95,0,0,0,61,61,61,61,61,112.0,112.0,112.0,112.0,112.0,151.0,151.0,151.0,151.0,118.0,118.0,118.0,118.0,73,73,73,73,73,73,73,73,73,73,145.0,145.0,145.0,118.0,118.0,118.0,118.0,108,108,108,114.0,114.0,114.0,114.0,161.0,161.0,161.0,169.0,169.0,169.0,169.0,180,180,180,180,180,195.0,195.0,195.0,195.0,104.0,104.0,104.0,104.0,104.0,19,19,19,19,19,19,19,19,78.0,78.0,78.0,78.0,155.0,155.0,161,161,161,178.0,178.0,178.0,178.0,178.0,156,156,156,156,156,156,104.0
Part 100,38,38,35.0,35.0,35.0,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,6.0,6.0,6.0,6.0,6.0,16.0,16.0,16.0,16.0,16.0,16.0,28,28,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,39,39,39,0,0,0,22,22,22,22,22,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,15,15,15,15,15,16.0,16.0,16.0,16.0,23.0,23.0,23.0,23.0,23.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,6.0,6.0,27,27,27,33.0,33.0,33.0,33.0,33.0,23,23,23,23,23,23,0.0
Part 101,0,0,0.0,0.0,0.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,78.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,95.0,95.0,95.0,95.0,47,47,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,33,33,33,0,0,0,30,30,30,30,30,24.0,24.0,24.0,24.0,24.0,87.0,87.0,87.0,87.0,108.0,108.0,108.0,108.0,103,103,103,103,103,103,103,103,103,103,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 102,0,0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,11,11,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,50,50,50,0,0,0,4,4,4,4,4,24.0,24.0,24.0,24.0,24.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,5,5,5,5,5,5,5,5,5,5,48.0,48.0,48.0,43.0,43.0,43.0,43.0,9,9,9,12.0,12.0,12.0,12.0,103.0,103.0,103.0,47.0,47.0,47.0,47.0,8,8,8,8,8,3.0,3.0,3.0,3.0,33.0,33.0,33.0,33.0,33.0,7,7,7,7,7,7,7,7,1.0,1.0,1.0,1.0,6.0,6.0,30,30,30,71.0,71.0,71.0,71.0,71.0,50,50,50,50,50,50,21.0
Part 103,23,23,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,36,36,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,186,186,186,0,0,0,148,148,148,148,148,145.0,145.0,145.0,145.0,145.0,69.0,69.0,69.0,69.0,112.0,112.0,112.0,112.0,136,136,136,136,136,136,136,136,136,136,180.0,180.0,180.0,156.0,156.0,156.0,156.0,50,50,50,43.0,43.0,43.0,43.0,127.0,127.0,127.0,81.0,81.0,81.0,81.0,55,55,55,55,55,114.0,114.0,114.0,114.0,153.0,153.0,153.0,153.0,153.0,87,87,87,87,87,87,87,87,387.0,387.0,387.0,387.0,300.0,300.0,77,77,77,103.0,103.0,103.0,103.0,103.0,134,134,134,134,134,134,82.0
Part 104,223,223,199.0,199.0,199.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,115.0,115.0,115.0,115.0,115.0,92.0,92.0,92.0,92.0,92.0,92.0,53,53,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,6,6,6,0,0,0,3,3,3,3,3,42.0,42.0,42.0,42.0,42.0,156.0,156.0,156.0,156.0,115.0,115.0,115.0,115.0,160,160,160,160,160,160,160,160,160,160,94.0,94.0,94.0,127.0,127.0,127.0,127.0,187,187,187,242.0,242.0,242.0,242.0,67.0,67.0,67.0,109.0,109.0,109.0,109.0,212,212,212,212,212,192.0,192.0,192.0,192.0,92.0,92.0,92.0,92.0,92.0,25,25,25,25,25,25,25,25,19.0,19.0,19.0,19.0,4.0,4.0,2,2,2,31.0,31.0,31.0,31.0,31.0,102,102,102,102,102,102,40.0
Part 105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,52,52,52,52,52,6.0,6.0,6.0,6.0,6.0,22.0,22.0,22.0,22.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,11,11,11,16.0,16.0,16.0,16.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,15,15,15,15,15,10.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,4.0,34,34,34,34,34,34,34,34,4.0,4.0,4.0,4.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 106,263,263,234.0,234.0,234.0,479.0,479.0,479.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,340.0,340.0,340.0,340.0,340.0,334.0,334.0,334.0,334.0,334.0,334.0,309,309,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,519,519,519,0,0,0,531,531,531,531,531,558.0,558.0,558.0,558.0,558.0,567.0,567.0,567.0,567.0,577.0,577.0,577.0,577.0,620,620,620,620,620,620,620,620,620,620,587.0,587.0,587.0,587.0,587.0,587.0,587.0,560,560,560,579.0,579.0,579.0,579.0,544.0,544.0,544.0,538.0,538.0,538.0,538.0,563,563,563,563,563,545.0,545.0,545.0,545.0,535.0,535.0,535.0,535.0,535.0,559,559,559,559,559,559,559,559,549.0,549.0,549.0,549.0,505.0,505.0,359,359,359,502.0,502.0,502.0,502.0,502.0,444,444,444,444,444,444,364.0
Part 107,225,225,289.0,289.0,289.0,355.0,355.0,355.0,342.0,342.0,342.0,342.0,342.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,255.0,255.0,255.0,255.0,255.0,223.0,223.0,223.0,223.0,223.0,223.0,253,253,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,194,194,194,0,0,0,218,218,218,218,218,209.0,209.0,209.0,209.0,209.0,110.0,110.0,110.0,110.0,126.0,126.0,126.0,126.0,101,101,101,101,101,101,101,101,101,101,134.0,134.0,134.0,174.0,174.0,174.0,174.0,209,209,209,133.0,133.0,133.0,133.0,98.0,98.0,98.0,159.0,159.0,159.0,159.0,104,104,104,104,104,95.0,95.0,95.0,95.0,116.0,116.0,116.0,116.0,116.0,291,291,291,291,291,291,291,291,146.0,146.0,146.0,146.0,274.0,274.0,323,323,323,392.0,392.0,392.0,392.0,392.0,299,299,299,299,299,299,269.0
Part 108,1,1,1.0,1.0,1.0,9.0,9.0,9.0,30.0,30.0,30.0,30.0,30.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4,4,4,0,0,0,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,17,17,17,17,17,17,17,22.0,22.0,22.0,22.0,7.0,7.0,7,7,7,7.0,7.0,7.0,7.0,7.0,6,6,6,6,6,6,6.0
Part 109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9,9,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2,14.0,14.0,14.0,14.0,2.0,2.0,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1.0
Part 110,0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,3.0,3.0,3.0,8.0,8.0,8.0,8.0,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.0,8.0,8.0,8.0,0.0,0.0,0,0,0,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0.0
Part 111,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 112,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 113,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 114,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0.0
Part 115,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 116,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,1,1,1,1,2.0,2.0,2.0,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
