Part Number,2021-09-13 18:30:00,2021-09-14 06:05:00,2021-09-14 06:25:00,2021-09-14 06:34:00,2021-09-14 17:30:00,2021-09-15 06:20:00,2021-09-15 06:37:00,2021-09-15 16:33:00,2021-09-16 06:32:00,2021-09-16 06:38:00,2021-09-16 15:06:00,2021-09-16 17:06:00,2021-09-17 05:59:00,2021-09-17 06:23:00,2021-09-17 06:32:00,2021-09-18 07:13:00,2021-09-19 06:30:00,2021-09-20 06:01:00,2021-09-20 06:29:00,2021-09-21 06:03:00,2021-09-21 06:31:00,2021-09-22 05:58:00,2021-09-22 06:33:00,2021-09-23 06:00:00,2021-09-23 06:35:00,2021-09-24 06:05:00,2021-09-24 06:33:00,2021-09-25 07:06:00,2021-09-25 15:38:00,2021-09-26 06:02:00,2021-09-26 06:28:00,2021-09-27 05:54:00,2021-09-27 06:30:00,2021-09-27 08:37:00,2021-09-27 09:55:00,2021-09-27 11:55:00,2021-09-27 12:58:00,2021-09-28 06:31:00,2021-09-28 06:37:00,2021-09-28 10:00:00,2021-09-28 12:00:00,2021-09-28 16:57:00,2021-09-28 18:00:00,2021-09-29 06:29:00,2021-09-29 06:42:00,2021-09-29 11:58:00,2021-09-30 06:31:00,2021-09-30 06:33:00,2021-09-30 11:33:00,2021-09-30 12:30:00,2021-09-30 13:33:00,2021-09-30 15:34:00,2021-09-30 16:30:00,2021-09-30 17:34:00,2021-10-01 06:31:00,2021-10-01 06:35:00,2021-10-01 07:08:00,2021-10-02 07:05:00,2021-10-02 08:35:00,2021-10-03 07:03:00,2021-10-04 05:54:00,2021-10-04 06:26:00,2021-10-04 06:30:00,2021-10-04 11:27:00,2021-10-04 16:30:00,2021-10-05 06:32:00,2021-10-05 06:39:00,2021-10-05 07:01:00,2021-10-05 10:29:00,2021-10-06 06:00:00,2021-10-06 06:29:00,2021-10-06 06:33:00,2021-10-06 12:26:00,2021-10-06 18:34:00,2021-10-07 06:31:00,2021-10-07 08:08:00,2021-10-07 15:31:00,2021-10-07 17:32:00,2021-10-08 06:04:00,2021-10-08 06:35:00,2021-10-08 06:37:00,2021-10-08 12:08:00,2021-10-08 15:05:00,2021-10-09 07:05:00,2021-10-10 05:58:00,2021-10-10 06:29:00,2021-10-11 06:00:00,2021-10-11 06:28:00,2021-10-12 06:30:00,2021-10-12 06:36:00,2021-10-12 11:34:00,2021-10-13 06:34:00,2021-10-13 06:44:00,2021-10-13 07:14:00,2021-10-13 12:38:00,2021-10-14 06:32:00,2021-10-14 06:33:00,2021-10-14 16:30:00,2021-10-15 06:30:00,2021-10-15 06:38:00,2021-10-15 06:59:00,2021-10-15 15:34:00,2021-10-16 07:06:00,2021-10-16 07:42:00,2021-10-17 06:36:00,2021-10-18 06:01:00,2021-10-18 06:27:00,2021-10-18 06:37:00,2021-10-18 16:38:00,2021-10-19 06:36:00,2021-10-19 06:49:00,2021-10-19 11:57:00,2021-10-19 15:57:00,2021-10-20 06:00:00,2021-10-20 06:32:00,2021-10-20 06:36:00,2021-10-20 12:01:00,2021-10-20 16:01:00,2021-10-21 06:29:00,2021-10-21 06:42:00,2021-10-21 09:57:00,2021-10-21 11:01:00,2021-10-21 11:58:00,2021-10-21 15:01:00,2021-10-22 06:48:00,2021-10-22 07:02:00,2021-10-22 11:06:00,2021-10-22 12:31:00,2021-10-22 14:31:00,2021-10-22 16:03:00,2021-10-23 07:08:00,2021-10-24 06:33:00,2021-10-25 06:19:00,2021-10-25 06:32:00,2021-10-25 14:33:00,2021-10-25 17:29:00,2021-10-26 06:31:00,2021-10-26 06:33:00,2021-10-27 06:29:00,2021-10-27 06:39:00,2021-10-28 06:30:00,2021-10-28 06:31:00,2021-10-28 12:26:00,2021-10-28 15:30:00,2021-10-28 16:26:00,2021-10-29 06:30:00,2021-10-29 06:32:00,2021-10-29 07:06:00,2021-10-29 12:34:00,2021-10-29 15:03:00,2021-10-29 15:38:00,2021-10-30 07:04:00,2021-11-01 07:03:00
Part 76,0,0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,12,12,12,12,12,12,12,12,12,12,6.0,6.0,6.0,18.0,18.0,18.0,18.0,19,19,19,13.0,13.0,13.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,2,2,2,2,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,16,16,16,16,16,16,16,16,10.0,10.0,10.0,10.0,4.0,4.0,2,2,2,1.0,1.0,1.0,1.0,1.0,4,4,4,4,4,4,8.0
Part 77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0,105.0,105.0,105.0,105.0,105.0,105.0,157,157,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,147,147,147,0,0,0,126,126,126,126,126,99.0,99.0,99.0,99.0,99.0,77.0,77.0,77.0,77.0,51.0,51.0,51.0,51.0,63,63,63,63,63,63,63,63,63,63,112.0,112.0,112.0,118.0,118.0,118.0,118.0,113,113,113,103.0,103.0,103.0,103.0,0.0,0.0,0.0,86.0,86.0,86.0,86.0,82,82,82,82,82,76.0,76.0,76.0,76.0,56.0,56.0,56.0,56.0,56.0,90,90,90,90,90,90,90,90,83.0,83.0,83.0,83.0,68.0,68.0,56,56,56,45.0,45.0,45.0,45.0,45.0,26,26,26,26,26,26,30.0
Part 78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0,117.0,117.0,117.0,117.0,117.0,117.0,168,168,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,154,154,154,0,0,0,133,133,133,133,133,106.0,106.0,106.0,106.0,106.0,88.0,88.0,88.0,88.0,57.0,57.0,57.0,57.0,63,63,63,63,63,63,63,63,63,63,115.0,115.0,115.0,122.0,122.0,122.0,122.0,117,117,117,107.0,107.0,107.0,107.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,86,86,86,86,86,80.0,80.0,80.0,80.0,69.0,69.0,69.0,69.0,69.0,103,103,103,103,103,103,103,103,96.0,96.0,96.0,96.0,81.0,81.0,69,69,69,58.0,58.0,58.0,58.0,58.0,39,39,39,39,39,39,44.0
Part 79,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,11,11,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7,7,7,0,0,0,7,7,7,7,7,7.0,7.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4,4,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4.0,4.0,4.0,4.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,14.0
Part 8,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,21.0,21.0,21.0,21.0,29,29,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,5,5,0,0,0,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,47.0,47.0,47.0,47.0,46.0,46.0,73,73,73,66.0,66.0,66.0,66.0,66.0,16,16,16,16,16,16,3.0
Part 80,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,277.0,277.0,277.0,277.0,180.0,180.0,180.0,180.0,180.0,180.0,13,13,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,64,64,64,0,0,0,146,146,146,146,146,245.0,245.0,245.0,245.0,245.0,311.0,311.0,311.0,311.0,253.0,253.0,253.0,253.0,220,220,220,220,220,220,220,220,220,220,110.0,110.0,110.0,151.0,151.0,151.0,151.0,187,187,187,171.0,171.0,171.0,171.0,0.0,0.0,0.0,165.0,165.0,165.0,165.0,212,212,212,212,212,221.0,221.0,221.0,221.0,256.0,256.0,256.0,256.0,256.0,145,145,145,145,145,145,145,145,108.0,108.0,108.0,108.0,166.0,166.0,232,232,232,277.0,277.0,277.0,277.0,277.0,293,293,293,293,293,293,280.0
Part 81,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,376.0,376.0,376.0,376.0,271.0,271.0,271.0,271.0,271.0,271.0,101,101,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,157,157,157,0,0,0,249,249,249,249,249,349.0,349.0,349.0,349.0,349.0,432.0,432.0,432.0,432.0,349.0,349.0,349.0,349.0,321,321,321,321,321,321,321,321,321,321,213.0,213.0,213.0,250.0,250.0,250.0,250.0,283,283,283,267.0,267.0,267.0,267.0,0.0,0.0,0.0,261.0,261.0,261.0,261.0,308,308,308,308,308,317.0,317.0,317.0,317.0,343.0,343.0,343.0,343.0,343.0,227,227,227,227,227,227,227,227,190.0,190.0,190.0,190.0,248.0,248.0,315,315,315,360.0,360.0,360.0,360.0,360.0,380,380,380,380,380,380,370.0
Part 82,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,99.0,99.0,99.0,91.0,91.0,91.0,91.0,91.0,91.0,88,88,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93,93,93,0,0,0,103,103,103,103,103,104.0,104.0,104.0,104.0,104.0,121.0,121.0,121.0,121.0,96.0,96.0,96.0,96.0,101,101,101,101,101,101,101,101,101,101,103.0,103.0,103.0,99.0,99.0,99.0,99.0,96,96,96,96.0,96.0,96.0,96.0,0.0,0.0,0.0,96.0,96.0,96.0,96.0,96,96,96,96,96,96.0,96.0,96.0,96.0,87.0,87.0,87.0,87.0,87.0,82,82,82,82,82,82,82,82,82.0,82.0,82.0,82.0,82.0,82.0,83,83,83,83.0,83.0,83.0,83.0,83.0,87,87,87,87,87,87,90.0
Part 83,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,13.0,13.0,13.0,13.0,13.0,13.0,6,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9,9,9,0,0,0,13,13,13,13,13,17.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,12,12,12,12,12,12,12,12,12,12,7.0,7.0,7.0,9.0,9.0,9.0,9.0,14,14,14,14.0,14.0,14.0,14.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,16,16,16,16,16,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,17,17,17,17,17,17,17,17,11.0,11.0,11.0,11.0,13.0,13.0,15,15,15,16.0,16.0,16.0,16.0,16.0,12,12,12,12,12,12,12.0
Part 84,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,13.0,13.0,13.0,13.0,13.0,13.0,6,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9,9,9,0,0,0,13,13,13,13,13,17.0,17.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,12,12,12,12,12,12,12,12,12,12,7.0,7.0,7.0,9.0,9.0,9.0,9.0,14,14,14,14.0,14.0,14.0,14.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,16,16,16,16,16,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,17,17,17,17,17,17,17,17,11.0,11.0,11.0,11.0,13.0,13.0,15,15,15,16.0,16.0,16.0,16.0,16.0,12,12,12,12,12,12,12.0
Part 85,0,0,3.0,3.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,3,3,0,0,0,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,14.0,7,7,7,7,7,7,7,7,7,7,2.0,2.0,2.0,11.0,11.0,11.0,11.0,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,1,1,1,1,1,8.0,8.0,8.0,8.0,23.0,23.0,23.0,23.0,23.0,29,29,29,29,29,29,29,29,25.0,25.0,25.0,25.0,28.0,28.0,29,29,29,31.0,31.0,31.0,31.0,31.0,20,20,20,20,20,20,19.0
Part 86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,0,0,0,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,3.0,3.0,3.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2,2,3.0
Part 87,23,23,20.0,20.0,20.0,18.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27,27,27,0,0,0,27,27,27,27,27,29.0,29.0,29.0,29.0,29.0,19.0,19.0,19.0,19.0,11.0,11.0,11.0,11.0,18,18,18,18,18,18,18,18,18,18,21.0,21.0,21.0,14.0,14.0,14.0,14.0,10,10,10,7.0,7.0,7.0,7.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,19,19,19,19,19,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,13,13,14.0,14.0,14.0,14.0,12.0,12.0,13,13,13,9.0,9.0,9.0,9.0,9.0,20,20,20,20,20,20,17.0
Part 88,4,4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,32.0,32.0,32.0,32.0,32.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,71,71,71,71,71,71,71,71,71,24.0,24.0,24.0,72.0,72.0,72.0,72.0,15,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,12,12,12,108.0,108.0,108.0,108.0,43.0,43.0,43.0,43.0,43.0,5,5,5,5,5,5,5,5,0.0,0.0,0.0,0.0,56.0,56.0,215,215,215,28.0,28.0,28.0,28.0,28.0,13,13,13,13,13,13,11.0
Part 89,16,16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,65,65,65,65,65,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24,24,24,24,24,24,24,24,24,24,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,20.0,20.0,20.0,20.0,15.0,15.0,0,0,0,6.0,6.0,6.0,6.0,6.0,38,38,38,38,38,38,9.0
Part 9,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,21.0,21.0,21.0,21.0,29,29,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5,5,5,0,0,0,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,47.0,47.0,47.0,47.0,46.0,46.0,73,73,73,66.0,66.0,66.0,66.0,66.0,16,16,16,16,16,16,3.0
Part 90,23,23,20.0,20.0,20.0,18.0,18.0,18.0,21.0,21.0,21.0,21.0,21.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,27,27,27,0,0,0,27,27,27,27,27,29.0,29.0,29.0,29.0,29.0,19.0,19.0,19.0,19.0,11.0,11.0,11.0,11.0,18,18,18,18,18,18,18,18,18,18,21.0,21.0,21.0,14.0,14.0,14.0,14.0,10,10,10,7.0,7.0,7.0,7.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,19,19,19,19,19,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,13,13,14.0,14.0,14.0,14.0,12.0,12.0,13,13,13,9.0,9.0,9.0,9.0,9.0,20,20,20,20,20,20,17.0
Part 91,46,46,46.0,46.0,46.0,48.0,48.0,48.0,52.0,52.0,52.0,52.0,52.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,64,64,64,0,0,0,60,60,60,60,60,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,56.0,56.0,56.0,56.0,54,54,54,54,54,54,54,54,54,54,48.0,48.0,48.0,54.0,54.0,54.0,54.0,46,46,46,44.0,44.0,44.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,44,44,44,44,44,44.0,44.0,44.0,44.0,74.0,74.0,74.0,74.0,74.0,90,90,90,90,90,90,90,90,84.0,84.0,84.0,84.0,82.0,82.0,86,86,86,82.0,82.0,82.0,82.0,82.0,84,84,84,84,84,84,78.0
Part 92,266,266,4.0,4.0,4.0,0.0,0.0,0.0,608.0,608.0,608.0,608.0,608.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,640.0,640.0,640.0,640.0,640.0,614.0,614.0,614.0,614.0,614.0,614.0,638,638,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,676.0,666,666,666,0,0,0,668,668,668,668,668,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670.0,666.0,666.0,666.0,666.0,672,672,672,672,672,672,672,672,672,672,664.0,664.0,664.0,724.0,724.0,724.0,724.0,744,744,744,726.0,726.0,726.0,726.0,730.0,730.0,730.0,688.0,688.0,688.0,688.0,658,658,658,658,658,634.0,634.0,634.0,634.0,586.0,586.0,586.0,586.0,586.0,660,660,660,660,660,660,660,660,636.0,636.0,636.0,636.0,640.0,640.0,628,628,628,642.0,642.0,642.0,642.0,642.0,630,630,630,630,630,630,124.0
Part 93,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,0.0
Part 94,42,42,40.0,40.0,40.0,40.0,40.0,40.0,47.0,47.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,40.0,40.0,40.0,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,39,39,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40,40,40,41,41,41,40,40,40,40,40,41.0,41.0,41.0,41.0,41.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0,42,42,42,42,42,42,42,42,42,42,42.0,42.0,42.0,28.0,28.0,28.0,28.0,35,35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,44,44,44,44,44,45.0,45.0,45.0,45.0,43.0,43.0,43.0,43.0,43.0,35,35,35,35,35,35,35,35,38.0,38.0,38.0,38.0,45.0,45.0,45,45,45,47.0,47.0,47.0,47.0,47.0,45,45,45,45,45,45,28.0
Part 95,113,113,209.0,209.0,209.0,209.0,209.0,209.0,288.0,288.0,288.0,288.0,288.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,262.0,262.0,262.0,262.0,262.0,305.0,305.0,305.0,305.0,305.0,305.0,309,309,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,323,323,323,305,305,305,269,269,269,269,269,311.0,311.0,311.0,311.0,311.0,335.0,335.0,335.0,335.0,327.0,327.0,327.0,327.0,236,236,236,236,236,236,236,236,236,236,303.0,303.0,303.0,276.0,276.0,276.0,276.0,352,352,352,363.0,363.0,363.0,363.0,365.0,365.0,365.0,344.0,344.0,344.0,344.0,317,317,317,317,317,209.0,209.0,209.0,209.0,250.0,250.0,250.0,250.0,250.0,325,325,325,325,325,325,325,325,290.0,290.0,290.0,290.0,249.0,249.0,99,99,99,276.0,276.0,276.0,276.0,276.0,264,264,264,264,264,264,209.0
Part 96,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,0.0
Part 97,127,127,32.0,32.0,32.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,26.0,26.0,26.0,26.0,26.0,10.0,10.0,10.0,10.0,10.0,10.0,23,23,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,105,105,105,0,0,0,100,100,100,100,100,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,106.0,106.0,106.0,106.0,99,99,99,99,99,99,99,99,99,99,85.0,85.0,85.0,91.0,91.0,91.0,91.0,99,99,99,129.0,129.0,129.0,129.0,162.0,162.0,162.0,114.0,114.0,114.0,114.0,126,126,126,126,126,127.0,127.0,127.0,127.0,140.0,140.0,140.0,140.0,140.0,107,107,107,107,107,107,107,107,37.0,37.0,37.0,37.0,7.0,7.0,5,5,5,4.0,4.0,4.0,4.0,4.0,3,3,3,3,3,3,1.0
Part 98,40,40,33.0,33.0,33.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,40.0,40.0,40.0,17.0,17.0,17.0,17.0,17.0,17.0,9,9,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25,25,25,0,0,0,29,29,29,29,29,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,25,25,25,25,25,25,25,25,25,25,46.0,46.0,46.0,13.0,13.0,13.0,13.0,13,13,13,23.0,23.0,23.0,23.0,21.0,21.0,21.0,54.0,54.0,54.0,54.0,61,61,61,61,61,27.0,27.0,27.0,27.0,38.0,38.0,38.0,38.0,38.0,20,20,20,20,20,20,20,20,3.0,3.0,3.0,3.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Part 99,124,124,150.0,150.0,150.0,48.0,48.0,48.0,39.0,39.0,39.0,39.0,39.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,30.0,30.0,30.0,30.0,30.0,49.0,49.0,49.0,49.0,49.0,49.0,57,57,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15,15,15,0,0,0,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,19.0,19.0,19.0,19.0,10,10,10,10,10,14.0,14.0,14.0,14.0,17.0,17.0,17.0,17.0,17.0,12,12,12,12,12,12,12,12,48.0,48.0,48.0,48.0,81.0,81.0,51,51,51,46.0,46.0,46.0,46.0,46.0,49,49,49,49,49,49,11.0
